country,year,industry,ai_adoption_rate_percent,ai_generated_content_volume_tbs_per_year,job_loss_due_to_ai_percent,revenue_increase_due_to_ai_percent,human_ai_collaboration_rate_percent,top_ai_tools_used,regulation_status,consumer_trust_in_ai_percent,market_share_of_ai_companies_percent,net_impact_percent,ai_maturity_score
Australia,2020,Automotive,14.31,3559,14.59,36.05,76.71,Claude,Moderate,76.46,2.64,21.459999999999997,51.69
Australia,2020,Finance,69.67,4775,27.81,55.74,74.99,Synthesia,Moderate,68.67,9.18,27.930000000000003,71.28
Australia,2020,Healthcare,21.02,205,5.47,79.55,53.09,ChatGPT,Strict,44.82,13.25,74.08,38.19
Australia,2020,Marketing,33.91,864,17.15,5.92,3.21,DALL-E,Lenient,76.05,37.53,-11.229999999999999,33.7
Canada,2020,Education,60.69,5638,29.34,28.55,3.95,Claude,Strict,30.81,3.26,-0.7899999999999991,33.36
Canada,2020,Gaming,50.97,1605,46.78,62.71,68.18,Synthesia,Strict,60.09,31.02,15.93,59.27
Canada,2020,Healthcare,68.24,3633,22.77,24.34,40.04,ChatGPT,Lenient,45.16,15.34,1.5700000000000003,52.6
Canada,2020,Legal,39.94,5779,46.08,44.31,38.14,Midjourney,Strict,46.49,37.29,-1.769999999999996,40.95
Canada,2020,Marketing,41.32,152,34.42,17.23,36.29,Midjourney,Lenient,70.43,37.79,-17.19,46.84
China,2020,Education,7.07,9467,37.59,4.47,78.66,ChatGPT,Lenient,64.86,3.86,-33.120000000000005,46.57
China,2020,Manufacturing,45.27,8247,12.07,57.15,57.03,Midjourney,Strict,42.57,39.35,45.08,48.71
China,2020,Manufacturing,72.88,155,47.77,76.86,55.78,Midjourney,Moderate,57.09,1.21,29.089999999999996,62.95
China,2020,Manufacturing,93.49,1696,20.47,26.27,83.71,ChatGPT,Moderate,70.17,45.17,5.800000000000001,84.24
China,2020,Media,43.22,528,4.32,51.15,51.23,Bard,Moderate,60.89,3.34,46.83,50.44
China,2020,Media,35.22,8415,20.44,73.08,65.49,Synthesia,Lenient,48.02,22.55,52.64,49.01
China,2020,Retail,82.41,7729,11.75,17.78,33.19,DALL-E,Strict,81.88,24.11,6.030000000000001,65.05
France,2020,Automotive,79.59,2037,39.06,44.06,83.18,Synthesia,Moderate,45.04,14.03,5.0,72.21
France,2020,Legal,64.43,4141,38.39,19.26,88.29,DALL-E,Strict,45.13,6.24,-19.13,67.96
France,2020,Manufacturing,93.16,5091,36.57,35.31,78.29,ChatGPT,Lenient,65.04,9.04,-1.259999999999998,80.93
France,2020,Marketing,7.1,7753,17.41,12.56,31.57,Midjourney,Strict,56.93,38.36,-4.85,28.12
France,2020,Media,20.47,161,2.43,31.04,52.49,Stable Diffusion,Strict,3.58,24.29,28.61,27.45
France,2020,Media,55.19,4106,29.26,5.19,49.04,ChatGPT,Moderate,50.12,46.08,-24.07,51.77
Germany,2020,Finance,7.19,2166,37.69,28.02,2.67,Midjourney,Moderate,4.08,37.87,-9.669999999999998,4.83
Germany,2020,Manufacturing,20.23,6816,49.16,38.34,24.65,Bard,Lenient,58.54,1.63,-10.819999999999993,31.35
Germany,2020,Manufacturing,21.63,3658,42.05,61.25,5.3,Synthesia,Moderate,57.27,22.23,19.200000000000003,24.82
Germany,2020,Media,34.28,7654,26.52,68.89,61.67,ChatGPT,Lenient,57.88,35.63,42.370000000000005,49.77
Germany,2020,Media,70.11,2826,27.62,57.86,58.71,DALL-E,Strict,78.74,31.73,30.24,68.28
India,2020,Automotive,64.03,521,41.36,53.59,23.62,DALL-E,Moderate,37.89,34.26,12.230000000000004,43.35
India,2020,Automotive,80.04,3649,29.72,76.74,69.01,ChatGPT,Moderate,48.27,4.48,47.019999999999996,68.24
India,2020,Education,70.48,1997,33.75,15.07,64.12,Stable Diffusion,Moderate,48.13,40.32,-18.68,62.67
India,2020,Media,43.55,1489,13.87,41.09,37.81,ChatGPT,Moderate,86.44,3.53,27.220000000000006,52.26
India,2020,Retail,93.72,2755,48.33,31.86,75.36,Bard,Moderate,73.23,9.67,-16.47,82.17
Japan,2020,Media,34.27,419,28.58,2.34,24.04,Claude,Lenient,87.03,39.95,-26.24,43.88
Japan,2020,Retail,19.03,466,31.81,47.63,33.97,Claude,Lenient,78.85,19.08,15.820000000000004,39.21
South Korea,2020,Automotive,30.94,8297,37.08,60.61,56.01,Bard,Lenient,8.51,38.38,23.53,34.11
South Korea,2020,Education,43.12,4247,17.26,26.12,3.86,ChatGPT,Moderate,65.57,10.43,8.86,34.99
South Korea,2020,Finance,18.91,574,40.53,49.28,82.93,Midjourney,Strict,68.44,12.68,8.75,53.7
South Korea,2020,Healthcare,10.53,2097,23.64,34.27,45.67,Stable Diffusion,Moderate,58.52,33.37,10.630000000000003,34.83
