country,year,industry,ai_adoption_rate_percent,ai_generated_content_volume_tbs_per_year,job_loss_dueto_ai_percent,revenue_increase_due_to_ai_percent,human_ai_collaboration_rate_percent,top_ai_tools_used,regulation_status,consumer_trust_in_ai_percent,market_share_of_ai_companies_percent
South Korea,2022,Media,4429,3309,1677,4612,7479,Bard,Strict,4077,1873
China,2025,Legal,3475,6674,4689,5246,2617,DALL-E,Strict,3567,3502
USA,2022,Automotive,8106,9613,1066,456,3966,Stable Diffusion,Moderate,5447,2276
France,2021,Legal,8524,9376,277,7824,2945,Claude,Moderate,5184,193
France,2021,Gaming,7895,4562,1745,105,217,Midjourney,Strict,4177,2141
USA,2021,Retail,6695,4772,86,2758,6442,ChatGPT,Lenient,6814,809
Australia,2023,Media,6823,614,62,5313,5316,Claude,Moderate,716,1526
UK,2023,Gaming,9127,3387,4167,5626,5993,ChatGPT,Moderate,4698,2851
Canada,2025,Education,1702,8777,459,5245,6472,Claude,Moderate,6055,227
China,2025,Healthcare,255,1874,1507,4081,6486,Stable Diffusion,Moderate,5107,3997
USA,2023,Retail,1194,9159,2628,7393,5755,Synthesia,Moderate,6579,293
India,2023,Gaming,3904,7844,3132,2893,7795,ChatGPT,Strict,3963,2279
France,2020,Marketing,710,7753,1741,1256,3157,Midjourney,Strict,5693,3836
France,2021,Legal,2562,8647,4764,711,3622,Bard,Lenient,6366,2992
USA,2025,Gaming,4971,5019,1409,1241,4018,Stable Diffusion,Moderate,5705,576
Japan,2024,Legal,6794,9681,884,5106,2304,Stable Diffusion,Lenient,3316,76
Germany,2022,Education,4385,5254,3207,7368,7408,Stable Diffusion,Strict,5679,2507
UK,2025,Manufacturing,6487,4904,3631,3816,8241,Synthesia,Lenient,7814,2054
Japan,2022,Healthcare,6298,2498,2751,2751,5378,Midjourney,Strict,5593,3055
France,2025,Marketing,6294,749,224,7169,6354,Stable Diffusion,Lenient,4426,4199
Canada,2025,Gaming,9476,1758,1448,7163,6744,Midjourney,Strict,7196,3465
South Korea,2025,Healthcare,441,8785,3996,3344,7272,Midjourney,Lenient,7674,4098
Japan,2023,Marketing,1286,508,185,2065,7567,DALL-E,Lenient,3835,525
France,2022,Media,4997,559,2261,1755,3497,Synthesia,Lenient,7871,276
France,2023,Media,8841,534,3607,1378,3624,Synthesia,Moderate,5885,3586
France,2020,Automotive,7959,2037,3906,4406,8318,Synthesia,Moderate,4504,1403
USA,2020,Retail,2612,7378,2151,2263,6541,Midjourney,Strict,4456,346
Germany,2022,Finance,8795,1255,1261,382,2544,Claude,Lenient,3437,3199
France,2021,Media,4253,4438,899,4969,4711,Synthesia,Moderate,5515,4658
India,2025,Retail,3274,2534,941,3342,7355,DALL-E,Lenient,7072,1993
Canada,2022,Retail,6715,6571,892,1932,4095,Bard,Lenient,481,2215
India,2022,Automotive,2848,3449,1844,235,3514,DALL-E,Strict,5731,1427
Japan,2025,Retail,4497,4393,3293,1856,2481,Stable Diffusion,Moderate,5438,4637
Japan,2023,Media,7157,724,1828,4983,3273,Claude,Moderate,4297,2845
India,2025,Gaming,1679,85,2843,6547,2338,Synthesia,Moderate,5992,164
South Korea,2023,Marketing,7481,5467,223,5234,848,Stable Diffusion,Lenient,4206,117
UK,2024,Gaming,7752,34,1458,679,6623,DALL-E,Moderate,3146,4111
Japan,2023,Media,2761,1449,3567,1849,4288,Claude,Strict,3012,4223
USA,2022,Manufacturing,4461,2616,4934,5853,7529,Stable Diffusion,Moderate,3296,4324
Germany,2021,Marketing,8118,356,3394,6833,7684,Claude,Lenient,4173,3904
Japan,2022,Manufacturing,4128,2214,1033,667,4015,Claude,Lenient,6131,3326
China,2024,Manufacturing,4854,8958,3488,6631,6028,Midjourney,Moderate,3052,2481
Australia,2025,Gaming,6264,6124,3725,4372,2021,Claude,Lenient,7968,4708
Japan,2022,Legal,5735,9406,3736,172,2037,Midjourney,Moderate,8869,753
South Korea,2024,Retail,2663,9537,4958,175,7235,Midjourney,Strict,5362,4853
South Korea,2024,Media,2598,529,1606,1174,4703,Claude,Strict,5583,4256
France,2020,Media,2047,161,243,3104,5249,Stable Diffusion,Strict,358,2429
USA,2021,Manufacturing,834,6633,2427,3495,4721,Claude,Moderate,4781,474
Canada,2023,Media,6149,1753,4825,2074,4772,DALL-E,Moderate,879,2932
Australia,2022,Gaming,8996,803,2511,7404,5167,Claude,Strict,7851,1766
USA,2025,Media,3323,7551,1261,6358,7734,DALL-E,Lenient,4851,466
South Korea,2020,Automotive,3094,8297,3708,6061,5601,Bard,Lenient,851,3838
Australia,2023,Retail,9141,6749,667,7161,5473,ChatGPT,Strict,5396,2935
USA,2022,Gaming,930,427,1292,5565,510,ChatGPT,Lenient,4734,2116
France,2020,Manufacturing,9316,5091,3657,3531,7829,ChatGPT,Lenient,6504,904
China,2022,Media,2627,3813,2179,337,6536,Midjourney,Lenient,5457,3802
Germany,2023,Healthcare,8875,3056,3135,6023,4653,ChatGPT,Moderate,7019,3079
India,2024,Finance,5027,1789,651,3002,2076,Claude,Moderate,3228,2684
Australia,2021,Gaming,7622,7593,433,1063,6188,DALL-E,Moderate,6557,682
UK,2025,Gaming,2827,398,319,612,4989,Midjourney,Lenient,5477,44
Canada,2020,Marketing,4132,152,3442,1723,3629,Midjourney,Lenient,7043,3779
Japan,2021,Education,3842,4078,2306,5805,8105,ChatGPT,Strict,8019,2528
Germany,2021,Manufacturing,2025,9906,381,661,8008,DALL-E,Moderate,8065,55
